,PULocationID,trip_distance,fare_amount,tip_amount,total_amount,travel_duration_in_seconds,average_speed,average_fare,tip_fare_r,count,Borough,Zone,service_zone
101,106,3.082717391304344,12.62468030690537,2.8972826086956536,17.619680306905263,786.0850383631714,13.506281170547032,5.050880302402699,0.2416829434102378,1564,Brooklyn,gowanus,Boro Zone
102,107,1.9564885122326592,9.925079023677513,2.3927361884572718,15.367885920178857,698.3621314864206,10.186852564329925,6.146944986264295,0.2545915550805094,490043,Manhattan,gramercy,Yellow Zone
103,108,3.604999999999999,15.2,3.1559999999999997,20.232000000000006,759.2,14.784967142748034,5.15914057491873,0.24020440472615734,10,Brooklyn,gravesend,Boro Zone
104,109,2.96,11.5,2.9050000000000002,15.455,670.0,15.255979314802843,4.795783926218709,0.2456186612576065,2,Staten Island,great kills,Boro Zone
105,111,3.583500000000001,14.15,3.2175,19.648,908.9,13.800204960060679,4.606158111346739,0.2314274756390317,20,Brooklyn,green-wood cemetery,Boro Zone
106,112,3.318732333115897,13.19406392694064,2.983613829093269,18.333576864536095,827.8134377038486,14.129406478270779,4.845373841024539,0.23709912247529055,4599,Brooklyn,greenpoint,Boro Zone
107,113,1.9694331761030197,10.150123348852565,2.4636817569030973,15.64836748478938,740.5061949553835,9.497488571667404,6.20669166656725,0.2579742058772322,327121,Manhattan,greenwich village north,Yellow Zone
108,114,2.2256132615197215,10.658336214670939,2.5577090692625464,16.31083114408897,751.5849127222046,10.42672837424139,5.768457689659082,0.25474579241275835,280541,Manhattan,greenwich village south,Yellow Zone
109,115,1.39,8.0,2.64,11.44,548.0,9.131386861313867,5.755395683453238,0.33,1,Staten Island,grymes hill/clifton,Boro Zone
110,116,3.272120166738553,13.167888457668536,2.650942935173219,17.707058358486666,821.112261032054,13.913181957656924,4.904348288684613,0.21395826127576478,13914,Manhattan,hamilton heights,Boro Zone
111,117,4.484444444444445,16.666666666666668,4.137777777777777,23.523333333333337,980.3333333333334,14.582599350152265,5.175149660596989,0.263122590909324,9,Queens,hammels/arverne,Boro Zone
112,118,4.752222222222223,16.666666666666668,3.7777777777777777,24.526666666666664,955.6666666666666,16.93244758355009,4.322167066861673,0.2372207409466999,9,Staten Island,heartland village/todt hill,Boro Zone
113,119,4.505370370370371,17.069444444444443,3.6660185185185186,23.042499999999997,1078.888888888889,14.461457691597852,4.740120870906766,0.22639961403973294,108,Bronx,highbridge,Boro Zone
114,120,4.076666666666666,15.277777777777779,3.343888888888889,21.273055555555555,923.2222222222222,15.983655301611403,4.527457654065918,0.2230597257006319,36,Manhattan,highbridge park,Boro Zone
115,121,6.107857142857142,19.75,4.416666666666667,27.654761904761894,1010.3571428571429,21.098830519697387,3.854719707850633,0.23881914707341836,42,Queens,hillcrest/pomonok,Boro Zone
116,122,9.125,27.25,3.28,33.53,1196.0,27.173534413867998,2.994514106583072,0.1344055944055944,2,Queens,hollis,Boro Zone
117,123,2.3099999999999996,10.372549019607844,2.46156862745098,15.423921568627451,655.5686274509804,11.156662511708232,6.277637410884343,0.2613602172868285,51,Brooklyn,homecrest,Boro Zone
118,124,5.897692307692308,28.75,6.036153846153846,37.82499999999998,1280.923076923077,18.53155221366782,5.800643834458247,0.22396276955716626,26,Queens,howard beach,Boro Zone
119,125,2.2686433913619473,10.786575193761324,2.590503420256468,16.464704868187223,757.6727967880718,10.911915041087138,5.620730778297787,0.2561252937456246,125283,Manhattan,hudson sq,Yellow Zone
120,126,4.048529411764706,16.602941176470587,3.718823529411764,22.793823529411757,1063.4117647058824,14.688751148494013,4.976021161075865,0.23617090692254752,34,Bronx,hunts point,Boro Zone
121,127,4.893355978260864,17.110054347826086,3.5278804347826043,22.609211956521666,923.8260869565217,18.122092934966894,4.553418054723261,0.2179158130996096,736,Manhattan,inwood,Boro Zone
122,128,5.43056603773585,18.9811320754717,3.6609433962264153,24.762452830188668,987.6981132075472,19.183712514579184,4.602869223985128,0.210890483750171,53,Manhattan,inwood hill park,Boro Zone
123,129,4.105649029311004,15.216216216216216,3.197875904073085,20.84314046440836,883.2124095926913,15.988981102639752,4.662987431019866,0.22294058258774466,2627,Queens,jackson heights,Boro Zone
124,130,10.021937377690799,40.345401174168295,7.014070450097849,52.27841487279844,1455.0,24.650689291791142,4.361936593137761,0.18648137135150208,511,Queens,jamaica,Boro Zone
125,131,4.838461538461538,17.602564102564102,3.7251282051282044,23.433333333333326,1062.076923076923,15.98550393381924,4.680657587972241,0.2116894784126682,39,Queens,jamaica estates,Boro Zone
126,132,9.66076604948191,29.796474155694224,5.817425652866607,36.811426149731275,1565.4918090283359,24.07725261735047,3.1638311085221082,0.19952750849726997,68429,Queens,jfk airport,Airports
127,133,3.8362820512820495,14.655448717948717,3.3593589743589733,20.409967948717988,903.1538461538462,14.750574274556444,4.659559248309008,0.22875696075065394,312,Brooklyn,kensington,Boro Zone
128,134,5.783450881612087,28.751889168765743,5.430201511335014,37.78322418136019,907.4836272040302,22.511383928007533,5.614649983973478,0.2115761190726052,397,Queens,kew gardens,Boro Zone
129,135,4.306627906976744,16.50581395348837,3.2641860465116284,22.138255813953478,802.0116279069767,18.430155689865657,4.607462028829176,0.22013256279394203,86,Queens,kew gardens hills,Boro Zone
130,136,4.844200000000001,17.47,3.398,22.653599999999987,1032.56,16.897451108862104,4.263986119089891,0.1983242021073437,50,Bronx,kingsbridge heights,Boro Zone
131,137,2.0079597810461824,9.748824744827475,2.3283707399501896,15.08990770140803,660.5081587135061,11.342466451536518,5.921405620540423,0.25310090638640015,249733,Manhattan,kips bay,Yellow Zone
132,138,9.145829320939875,29.306155418192525,6.999791745181487,42.888749725415984,1655.4003962343627,21.184762160760755,3.26429750872057,0.2401827789822108,496171,Queens,laguardia airport,Airports
133,139,6.836666666666668,22.055555555555557,4.154444444444445,27.826666666666668,1112.4444444444443,21.131204842302274,4.3820496652794345,0.19752131041261478,9,Queens,laurelton,Boro Zone
134,140,2.1937261330234405,10.468925230706132,2.443708742907531,15.854378836527285,706.5397224690682,11.453869080167763,5.846675683266016,0.25023429940377867,365725,Manhattan,lenox hill east,Yellow Zone
135,141,1.810720379323516,9.114431387320563,2.2026236195503746,14.247758146066197,611.359821265957,11.198608487425915,6.146867552006614,0.25900886848906346,483176,Manhattan,lenox hill west,Yellow Zone
136,142,1.9646356269343812,9.856857083968567,2.4217953491117434,15.277700728241998,688.7899117325674,10.46270590661497,5.933966174272896,0.25986573607747887,611324,Manhattan,lincoln square east,Yellow Zone
137,143,1.9056022904144923,9.709766366344398,2.2947687843653553,14.91808594335766,676.8704997378784,10.58055943075611,6.018183602276733,0.25304438262543305,246069,Manhattan,lincoln square west,Yellow Zone
138,144,2.3202064345092412,11.14612511431478,2.6203893895333183,16.86795887749365,800.0862883917837,10.24428337132722,5.770495799239137,0.24968420952698864,194638,Manhattan,little italy/nolita,Yellow Zone
139,145,3.173171682182288,16.010012989824638,3.3371855379952335,22.110917947607145,822.3199826802338,14.069936012501111,5.713585102437176,0.22922509282993062,9238,Queens,long island city/hunters point,Boro Zone
140,146,2.7601871120847004,11.844815626140928,2.6556124497992095,16.64803760496492,772.6872946330777,13.555259146312373,4.8117578417313664,0.23577313845726525,10956,Queens,long island city/queens plaza,Boro Zone
141,147,3.49,14.85897435897436,3.153589743589743,19.729230769230764,1025.5128205128206,12.537232727717678,5.42987355533666,0.22815828507282276,39,Bronx,longwood,Boro Zone
142,148,2.6819823183250358,11.697217020574968,2.7073026809093665,17.5233736509837,774.5333631691968,12.075528654825476,5.315139258273768,0.24564284442983056,254727,Manhattan,lower east side,Yellow Zone
143,149,3.741785714285714,15.125,3.0671428571428576,20.224999999999998,1028.1785714285713,12.854965145054175,4.715951948168891,0.21366577503992978,28,Brooklyn,madison,Boro Zone
144,150,4.835384615384616,17.846153846153847,3.4015384615384616,23.29461538461538,857.0,17.906203380078672,5.02389905041605,0.19936970651680982,13,Brooklyn,manhattan beach,Boro Zone
145,151,2.116896210571312,10.023215976060337,2.3193105743687963,14.7012318544089,662.9506488747749,11.663040654854804,5.647923859270878,0.24509222507890294,163745,Manhattan,manhattan valley,Yellow Zone
146,152,2.723919732985992,11.575464018235103,2.5044757408010536,15.977937968087982,721.0946760013026,13.27890728924298,5.145345049278063,0.22632432833370608,12284,Manhattan,manhattanville,Boro Zone
147,153,3.510303030303031,13.590909090909092,2.70469696969697,18.235151515151504,817.7272727272727,14.543023519586441,4.885624387699649,0.21583168195932198,66,Manhattan,marble hill,Boro Zone
148,154,3.483333333333334,15.75,3.286666666666667,21.078333333333337,1072.5,17.546184899846313,4.859115979131347,0.20839763358414262,6,Brooklyn,marine park/floyd bennett field,Boro Zone
149,155,3.7979999999999996,14.742857142857142,2.670571428571428,18.82657142857143,931.5142857142857,13.80974507477373,4.968708174701721,0.1896800507914865,35,Brooklyn,marine park/mill basin,Boro Zone
150,156,2.301,10.1,2.128,13.727999999999998,624.0,13.840225599946695,4.888889122817402,0.21994731881271107,10,Staten Island,mariners harbor,Boro Zone
151,157,6.367230769230774,41.58461538461538,7.409435897435896,54.66435897435897,1161.3794871794871,21.37797045308576,6.912247221160985,0.18845148899455408,390,Queens,maspeth,Boro Zone
