,BORO,PRECINCT,STATISTICAL_MURDER_FLAG,Latitude,Longitude,Lon_Lat,datetime,year,month,day,time,day_of_week_name
21764,MANHATTAN,30,False,40.67132944,-73.92809805,POINT (-73.92809805199995 40.67132944000008),2020-01-23 14:00:00+00:00,2020,1,23,14:00:00,Thursday
21765,BROOKLYN,73,True,40.89926252,-73.85032983,POINT (-73.850329833 40.89926251900005),2020-01-25 04:58:00+00:00,2020,1,25,04:58:00,Saturday
21774,BRONX,43,False,40.7982799,-73.93277182,POINT (-73.93277182499997 40.79827989900008),2020-04-24 02:53:00+00:00,2020,4,24,02:53:00,Friday
21784,BRONX,40,True,40.75890302,-73.86119261,POINT (-73.86119261 40.75890301700008),2020-02-09 02:27:00+00:00,2020,2,9,02:27:00,Sunday
21794,BROOKLYN,88,False,40.79409373,-73.93681016,POINT (-73.936810155 40.79409372500004),2020-01-04 05:19:00+00:00,2020,1,4,05:19:00,Saturday
21806,QUEENS,113,False,40.65068335,-73.96331129,POINT (-73.96331128799993 40.650683352000044),2020-02-27 22:00:00+00:00,2020,2,27,22:00:00,Thursday
21812,QUEENS,115,False,40.68136029,-73.79326866,POINT (-73.79326865999997 40.68136029300007),2020-01-13 03:51:00+00:00,2020,1,13,03:51:00,Monday
21813,MANHATTAN,7,False,40.85820487,-73.87097732,POINT (-73.87097732199999 40.85820486800003),2020-03-21 00:13:00+00:00,2020,3,21,00:13:00,Saturday
21820,QUEENS,115,False,40.84460258,-73.88166226,POINT (-73.88166226199996 40.84460257800004),2020-01-13 03:51:00+00:00,2020,1,13,03:51:00,Monday
21823,MANHATTAN,7,False,40.68477233,-73.77441861,POINT (-73.77441861399996 40.68477232800007),2020-03-21 00:13:00+00:00,2020,3,21,00:13:00,Saturday
21824,QUEENS,115,True,40.83722495,-73.88729499,POINT (-73.88729499199997 40.83722494500006),2020-01-13 03:51:00+00:00,2020,1,13,03:51:00,Monday
21825,BROOKLYN,67,False,40.68830009,-73.8148064,POINT (-73.81480639599995 40.68830009000004),2020-04-05 03:19:00+00:00,2020,4,5,03:19:00,Sunday
21830,BRONX,41,False,40.83593961,-73.88646599,POINT (-73.88646598899999 40.83593960600007),2020-02-08 20:28:00+00:00,2020,2,8,20:28:00,Saturday
21832,BRONX,47,False,40.71265806,-73.76828948,POINT (-73.76828947799999 40.71265806200007),2020-03-27 00:40:00+00:00,2020,3,27,00:40:00,Friday
21835,MANHATTAN,30,False,40.64032011,-73.93979151,POINT (-73.93979151099995 40.640320114000076),2020-01-10 03:38:00+00:00,2020,1,10,03:38:00,Friday
21840,QUEENS,105,False,40.80958414,-73.91805075,POINT (-73.91805074799998 40.80958413800005),2020-04-22 20:35:00+00:00,2020,4,22,20:35:00,Wednesday
21846,BRONX,41,False,40.87202025,-73.84121066,POINT (-73.84121066399997 40.87202025100004),2020-04-26 02:25:00+00:00,2020,4,26,02:25:00,Sunday
21848,BROOKLYN,75,False,40.81756739,-73.938233,POINT (-73.93823299699994 40.817567390000086),2020-01-07 17:10:00+00:00,2020,1,7,17:10:00,Tuesday
21857,MANHATTAN,32,False,40.86402732,-73.89340651,POINT (-73.89340651099997 40.86402732400006),2020-01-26 17:30:00+00:00,2020,1,26,17:30:00,Sunday
21865,BRONX,40,True,40.65068335,-73.96331129,POINT (-73.96331128799993 40.650683352000044),2020-02-14 18:36:00+00:00,2020,2,14,18:36:00,Friday
21871,BROOKLYN,67,False,40.67317201,-73.93904085,POINT (-73.93904085499999 40.67317201400005),2020-04-05 03:19:00+00:00,2020,4,5,03:19:00,Sunday
21875,BRONX,52,False,40.70723982,-73.79272673,POINT (-73.79272672599996 40.707239816000026),2020-01-22 12:45:00+00:00,2020,1,22,12:45:00,Wednesday
21878,QUEENS,101,False,40.65290209,-73.89402854,POINT (-73.89402853999997 40.65290208700002),2020-04-08 21:12:00+00:00,2020,4,8,21:12:00,Wednesday
21879,BRONX,42,False,40.68137346,-73.92107463,POINT (-73.92107462999998 40.68137346100008),2020-03-15 12:54:00+00:00,2020,3,15,12:54:00,Sunday
21889,BROOKLYN,69,False,40.87755443,-73.87293947,POINT (-73.87293947099994 40.877554428000046),2020-03-30 01:20:00+00:00,2020,3,30,01:20:00,Monday
21896,MANHATTAN,32,True,40.72642184,-73.73584631,POINT (-73.73584631499993 40.726421843000026),2020-04-25 00:55:00+00:00,2020,4,25,00:55:00,Saturday
21912,QUEENS,115,True,40.80209197,-73.93700122,POINT (-73.93700122199994 40.802091971000046),2020-01-13 03:51:00+00:00,2020,1,13,03:51:00,Monday
21946,MANHATTAN,25,False,40.86905853,-73.87963015,POINT (-73.87963014799993 40.86905853200005),2020-02-02 02:32:00+00:00,2020,2,2,02:32:00,Sunday
21954,QUEENS,103,False,40.82514498,-73.8896496,POINT (-73.88964960399994 40.82514498300003),2020-01-04 03:46:00+00:00,2020,1,4,03:46:00,Saturday
21969,BROOKLYN,79,False,40.72906475,-73.81102013,POINT (-73.81102013199995 40.72906475000008),2020-01-05 14:25:00+00:00,2020,1,5,14:25:00,Sunday
21975,BROOKLYN,79,False,40.83732351,-73.91983076,POINT (-73.91983075699994 40.83732351100008),2020-01-05 21:57:00+00:00,2020,1,5,21:57:00,Sunday
21976,MANHATTAN,28,False,40.64971987,-73.96312803,POINT (-73.96312802699998 40.64971987400003),2020-03-13 00:32:00+00:00,2020,3,13,00:32:00,Friday
21977,BRONX,44,True,40.7944117,-73.80279526,POINT (-73.80279526499999 40.79441169700005),2020-04-01 21:40:00+00:00,2020,4,1,21:40:00,Wednesday
21978,BROOKLYN,81,False,40.67416803,-74.00219692,POINT (-74.00219692399996 40.67416802600008),2020-03-20 21:27:00+00:00,2020,3,20,21:27:00,Friday
21982,STATEN ISLAND,120,True,40.7952582,-73.94935941,POINT (-73.94935940799998 40.795258198000056),2020-04-14 15:58:00+00:00,2020,4,14,15:58:00,Tuesday
21983,BROOKLYN,83,True,40.88733282,-73.84725001,POINT (-73.84725001299995 40.88733281800006),2020-03-14 20:18:00+00:00,2020,3,14,20:18:00,Saturday
21989,MANHATTAN,25,True,40.69023761,-73.79987606,POINT (-73.79987605699995 40.69023761000005),2020-02-12 02:30:00+00:00,2020,2,12,02:30:00,Wednesday
21998,BROOKLYN,72,False,40.64032011,-73.93979151,POINT (-73.93979151099995 40.640320114000076),2020-01-02 20:20:00+00:00,2020,1,2,20:20:00,Thursday
22005,QUEENS,101,False,40.79975213,-73.95124138,POINT (-73.95124137999993 40.79975213100005),2020-01-07 13:30:00+00:00,2020,1,7,13:30:00,Tuesday
22011,MANHATTAN,34,True,40.86436864,-73.86544108,POINT (-73.86544107799993 40.86436863500006),2020-01-20 04:50:00+00:00,2020,1,20,04:50:00,Monday
22017,BROOKLYN,73,True,40.59712057,-73.94124922,POINT (-73.94124921699995 40.59712056600006),2020-04-13 21:27:00+00:00,2020,4,13,21:27:00,Monday
22019,MANHATTAN,34,False,40.86436864,-73.86544108,POINT (-73.86544107799993 40.86436863500006),2020-01-20 04:50:00+00:00,2020,1,20,04:50:00,Monday
22034,BROOKLYN,72,False,40.64032011,-73.93979151,POINT (-73.93979151099995 40.640320114000076),2020-01-02 20:20:00+00:00,2020,1,2,20:20:00,Thursday
22037,BROOKLYN,75,False,40.7546191,-73.87619504,POINT (-73.87619504199995 40.754619097000045),2020-02-07 22:50:00+00:00,2020,2,7,22:50:00,Friday
22038,BRONX,49,False,40.66654015,-73.87932515,POINT (-73.87932514799998 40.66654015100005),2020-01-18 01:06:00+00:00,2020,1,18,01:06:00,Saturday
22039,BROOKLYN,67,False,40.59368533,-73.75907038,POINT (-73.75907037999998 40.59368532700007),2020-01-02 04:10:00+00:00,2020,1,2,04:10:00,Thursday
22042,BROOKLYN,67,False,40.63348917,-73.88922793,POINT (-73.88922792999993 40.633489170000075),2020-02-16 15:30:00+00:00,2020,2,16,15:30:00,Sunday
22048,BROOKLYN,77,False,40.67557139,-73.92577898,POINT (-73.92577898299999 40.675571392000045),2020-04-15 22:03:00+00:00,2020,4,15,22:03:00,Wednesday
22050,BRONX,47,False,40.78934789,-73.94735241,POINT (-73.94735241299998 40.78934789300007),2020-04-30 23:20:00+00:00,2020,4,30,23:20:00,Thursday
22052,BROOKLYN,77,True,40.68034722,-73.93003524,POINT (-73.93003524099998 40.68034722300007),2020-04-11 19:58:00+00:00,2020,4,11,19:58:00,Saturday
22053,QUEENS,105,False,40.6684668,-73.89600445,POINT (-73.89600444799999 40.66846680400005),2020-01-25 20:05:00+00:00,2020,1,25,20:05:00,Saturday
22066,BROOKLYN,83,False,40.83732351,-73.91983076,POINT (-73.91983075699994 40.83732351100008),2020-01-15 05:31:00+00:00,2020,1,15,05:31:00,Wednesday
22068,BROOKLYN,79,True,40.82001526,-73.88697368,POINT (-73.88697367999998 40.82001525600003),2020-04-20 19:36:00+00:00,2020,4,20,19:36:00,Monday
22071,QUEENS,103,False,40.81027545,-73.92562155,POINT (-73.92562154799998 40.81027545200004),2020-02-28 19:00:00+00:00,2020,2,28,19:00:00,Friday
22087,BRONX,48,False,40.79732124,-73.93150508,POINT (-73.93150507699995 40.797321243000056),2020-04-02 23:10:00+00:00,2020,4,2,23:10:00,Thursday
22092,BRONX,43,True,40.66269281,-73.88830716,POINT (-73.88830715999995 40.66269280500006),2020-01-01 10:29:00+00:00,2020,1,1,10:29:00,Wednesday
22101,QUEENS,114,True,40.71808997,-73.96491196,POINT (-73.96491195899995 40.71808997000005),2020-04-09 14:56:00+00:00,2020,4,9,14:56:00,Thursday
22104,MANHATTAN,28,False,40.63807818,-74.13184275,POINT (-74.13184274799994 40.63807818300006),2020-01-12 15:20:00+00:00,2020,1,12,15:20:00,Sunday
22107,MANHATTAN,9,False,40.67141166,-73.88151172,POINT (-73.88151172399995 40.67141166300007),2020-01-16 15:21:00+00:00,2020,1,16,15:21:00,Thursday
22109,BROOKLYN,81,False,40.67824326,-73.8955097,POINT (-73.89550970099998 40.67824325500004),2020-04-27 02:00:00+00:00,2020,4,27,02:00:00,Monday
22113,BROOKLYN,75,True,40.69783631,-73.7958466,POINT (-73.79584659799998 40.69783630800004),2020-04-19 08:50:00+00:00,2020,4,19,08:50:00,Sunday
22116,MANHATTAN,7,False,40.6763967,-74.00492251,POINT (-74.00492250999997 40.67639669900007),2020-03-21 00:13:00+00:00,2020,3,21,00:13:00,Saturday
22122,BRONX,41,False,40.63279801,-74.16521971,POINT (-74.16521970799994 40.63279800500004),2020-02-09 07:54:00+00:00,2020,2,9,07:54:00,Sunday
22123,MANHATTAN,25,False,40.67824326,-73.8955097,POINT (-73.89550970099998 40.67824325500004),2020-01-02 16:25:00+00:00,2020,1,2,16:25:00,Thursday
22126,STATEN ISLAND,121,False,40.5873465,-73.81304854,POINT (-73.81304853899996 40.58734650400004),2020-03-14 00:01:00+00:00,2020,3,14,00:01:00,Saturday
22132,BROOKLYN,75,True,40.82266066,-73.91152022,POINT (-73.911520222 40.82266065500005),2020-02-04 18:43:00+00:00,2020,2,4,18:43:00,Tuesday
22136,BROOKLYN,75,False,40.69575823,-73.94928352,POINT (-73.94928351799997 40.69575822900004),2020-01-29 20:30:00+00:00,2020,1,29,20:30:00,Wednesday
22142,BRONX,47,False,40.75890302,-73.86119261,POINT (-73.86119261 40.75890301700008),2020-01-12 00:50:00+00:00,2020,1,12,00:50:00,Sunday
22149,QUEENS,115,True,40.5797802,-73.99842465,POINT (-73.99842465499995 40.57978019500007),2020-01-13 03:51:00+00:00,2020,1,13,03:51:00,Monday
22157,MANHATTAN,32,False,40.60673849,-73.75852628,POINT (-73.75852627599994 40.60673849300008),2020-03-10 00:45:00+00:00,2020,3,10,00:45:00,Tuesday
22158,BROOKLYN,77,False,40.59548718,-73.78458649,POINT (-73.78458649099997 40.59548717900003),2020-01-01 02:35:00+00:00,2020,1,1,02:35:00,Wednesday
22161,QUEENS,103,False,40.83855091,-73.90939937,POINT (-73.90939937399997 40.83855090900005),2020-03-27 05:40:00+00:00,2020,3,27,05:40:00,Friday
22163,BROOKLYN,75,True,40.84324043,-73.93635868,POINT (-73.93635868099993 40.84324043000004),2020-02-04 18:43:00+00:00,2020,2,4,18:43:00,Tuesday
22175,QUEENS,108,False,40.68910829,-73.78696321,POINT (-73.78696320699999 40.68910828500003),2020-02-22 06:05:00+00:00,2020,2,22,06:05:00,Saturday
22178,MANHATTAN,28,False,40.67065507,-73.91339092,POINT (-73.91339091999998 40.670655072000045),2020-01-25 01:30:00+00:00,2020,1,25,01:30:00,Saturday
22179,BRONX,40,False,40.60673849,-73.75852628,POINT (-73.75852627599994 40.60673849300008),2020-03-10 02:20:00+00:00,2020,3,10,02:20:00,Tuesday
22183,QUEENS,103,False,40.83378184,-73.9265782,POINT (-73.92657819899993 40.833781835000025),2020-01-11 21:30:00+00:00,2020,1,11,21:30:00,Saturday
22190,QUEENS,111,False,40.74515055,-73.86242664,POINT (-73.86242663599995 40.74515055200004),2020-02-29 02:13:00+00:00,2020,2,29,02:13:00,Saturday
22203,BROOKLYN,76,True,40.65272465,-73.93150216,POINT (-73.93150216299993 40.65272464900005),2020-02-08 02:20:00+00:00,2020,2,8,02:20:00,Saturday
22209,MANHATTAN,7,False,40.81371025,-73.92318281,POINT (-73.923182807 40.81371024600002),2020-03-21 00:13:00+00:00,2020,3,21,00:13:00,Saturday
22219,QUEENS,109,False,40.75890302,-73.86119261,POINT (-73.86119261 40.75890301700008),2020-02-21 22:10:00+00:00,2020,2,21,22:10:00,Friday
22246,MANHATTAN,34,False,40.86436864,-73.86544108,POINT (-73.86544107799993 40.86436863500006),2020-01-20 04:50:00+00:00,2020,1,20,04:50:00,Monday
22263,MANHATTAN,25,True,40.65269513,-73.96284167,POINT (-73.96284167499994 40.65269512700007),2020-03-05 18:39:00+00:00,2020,3,5,18:39:00,Thursday
22270,BROOKLYN,84,True,40.85109863,-73.90803041,POINT (-73.90803040599997 40.85109863400004),2020-02-24 15:30:00+00:00,2020,2,24,15:30:00,Monday
22272,MANHATTAN,9,False,40.67924234,-73.94218637,POINT (-73.94218636599999 40.67924233600007),2020-03-08 05:00:00+00:00,2020,3,8,05:00:00,Sunday
22276,BRONX,46,False,40.86413609,-73.91918021,POINT (-73.91918020999998 40.86413608500004),2020-03-15 20:39:00+00:00,2020,3,15,20:39:00,Sunday
22284,BRONX,41,False,40.78934789,-73.94735241,POINT (-73.94735241299998 40.78934789300007),2020-01-12 12:05:00+00:00,2020,1,12,12:05:00,Sunday
22288,MANHATTAN,7,False,40.7711011,-73.83449784,POINT (-73.834497836 40.77110109700004),2020-03-21 00:13:00+00:00,2020,3,21,00:13:00,Saturday
22306,STATEN ISLAND,121,False,40.59646293,-73.77246641,POINT (-73.77246640899993 40.59646293100008),2020-01-11 16:00:00+00:00,2020,1,11,16:00:00,Saturday
22312,BROOKLYN,79,True,40.67459999,-73.93057482,POINT (-73.93057482199998 40.67459999000005),2020-01-20 19:30:00+00:00,2020,1,20,19:30:00,Monday
22329,QUEENS,103,False,40.57343941,-73.99174391,POINT (-73.99174391099999 40.57343941200002),2020-02-08 05:30:00+00:00,2020,2,8,05:30:00,Saturday
22331,BRONX,48,True,40.69783631,-73.7958466,POINT (-73.79584659799998 40.69783630800004),2020-04-18 00:57:00+00:00,2020,4,18,00:57:00,Saturday
22336,BROOKLYN,60,False,40.68965532,-73.91840007,POINT (-73.91840006999998 40.689655320000035),2020-04-14 23:59:00+00:00,2020,4,14,23:59:00,Tuesday
22353,BROOKLYN,88,False,40.66969238,-73.91074263,POINT (-73.91074262999997 40.669692375000075),2020-01-02 21:12:00+00:00,2020,1,2,21:12:00,Thursday
22355,BRONX,48,False,40.63279801,-74.16521971,POINT (-74.16521970799994 40.63279800500004),2020-01-23 19:47:00+00:00,2020,1,23,19:47:00,Thursday
22356,QUEENS,113,True,40.75365563,-73.81306546,POINT (-73.81306545699994 40.753655629000036),2020-01-21 11:38:00+00:00,2020,1,21,11:38:00,Tuesday
22359,BRONX,50,False,40.78621722,-73.94380515,POINT (-73.94380515399996 40.78621722200006),2020-02-01 05:09:00+00:00,2020,2,1,05:09:00,Saturday
22362,MANHATTAN,32,False,40.64886713,-73.9508219,POINT (-73.95082189999994 40.64886713300007),2020-04-25 00:55:00+00:00,2020,4,25,00:55:00,Saturday
22377,BROOKLYN,90,False,40.6692002,-73.90964022,POINT (-73.90964022299994 40.66920019900005),2020-03-08 04:51:00+00:00,2020,3,8,04:51:00,Sunday
22396,QUEENS,102,False,40.8643313,-73.86637753,POINT (-73.86637753399998 40.86433129700004),2020-01-14 16:57:00+00:00,2020,1,14,16:57:00,Tuesday
22412,MANHATTAN,34,True,40.86436864,-73.86544108,POINT (-73.86544107799993 40.86436863500006),2020-01-20 04:50:00+00:00,2020,1,20,04:50:00,Monday
22415,QUEENS,113,False,40.83593961,-73.88646599,POINT (-73.88646598899999 40.83593960600007),2020-02-17 23:56:00+00:00,2020,2,17,23:56:00,Monday
22417,BROOKLYN,63,True,40.77445549,-73.9325648,POINT (-73.93256480499997 40.77445548600008),2020-02-11 18:07:00+00:00,2020,2,11,18:07:00,Tuesday
22422,BRONX,42,False,40.67423304,-73.9319992,POINT (-73.93199920199999 40.67423304000005),2020-04-11 23:00:00+00:00,2020,4,11,23:00:00,Saturday
22431,BRONX,44,False,40.82338729,-73.87017045,POINT (-73.87017045 40.82338729100008),2020-04-10 04:39:00+00:00,2020,4,10,04:39:00,Friday
22443,QUEENS,101,False,40.67013835,-73.90892519,POINT (-73.90892519399995 40.67013835000005),2020-02-27 00:38:00+00:00,2020,2,27,00:38:00,Thursday
22452,QUEENS,100,False,40.70704748,-73.7926119,POINT (-73.79261190399995 40.70704747500002),2020-03-07 03:00:00+00:00,2020,3,7,03:00:00,Saturday
22474,BRONX,40,False,40.65993057,-73.9241276,POINT (-73.92412760099995 40.659930565000025),2020-03-20 00:02:00+00:00,2020,3,20,00:02:00,Friday
